241869
20348	佼	70066	-1	2
20349	佽	65536	-1	3
20350	佾	65536	-1	3
20351	使	69749	-1	1
20352	侀	65536	-1	3
20353	侁	65536	-1	3
20354	侂	65536	-1	3
20356	侄	69674	-1	2
20361	侉	65536	-1	3
20363	例	70950	-1	2
20365	侍	69082	-1	1
20367	侏	69693	-1	2
20370	侒	65536	-1	3
20375	侗	66910	-1	1
20379	供	72225	-1	1
20380	侜	65536	-1	3
20381	依	69480	-1	1
20384	侠	70418	-1	1
20387	侣	70178	-1	2
20389	侥	66272	-1	2
20390	侦	68968	-1	1
20391	侧	74970	-1	1
20392	侨	70990	-1	1
20393	侩	65536	-1	3
20394	侪	65536	-1	3
20398	侮	65537	-1	1
20399	侯	65536	-1	1
20405	侵	69671	-1	1
20415	便	74103	-1	2
20419	促	65548	-1	1
20420	俄	69687	-1	2
20426	俊	70098	-1	1
20431	俏	70499	-1	2
20433	俑	68178	-1	1
20435	俓	65536	-1	3
20436	俔	65536	-1	3
20439	俗	72260	-1	2
20440	俘	65541	-1	1
20442	俚	70098	-1	1
20445	保	88141	-1	1
20449	信	89902	-1	2
20457	俩	77905	-1	2
20458	俪	65536	-1	3
20460	俬	65536	-1	3
20461	俭	65674	-1	2
20462	修	72738	-1	1
20463	俯	69437	-1	1
20465	俱	70617	-1	2
20467	俳	69184	-1	2
20469	俵	65536	-1	3
20470	俶	65536	-1	3
20472	俸	65536	-1	1
20485	倅	65536	-1	3
20492	倌	65536	-1	3
20493	倍	70102	-1	1
20495	倏	68348	-1	2
20498	倒	78620	-1	1
20499	倓	65536	-1	3
20500	倔	66429	-1	2
20501	倕	65536	-1	3
20503	倗	65536	-1	3
20504	倘	70473	-1	2
20505	候	70851	-1	1
20506	倚	65537	-1	1
20507	倛	65536	-1	3
20510	倞	65536	-1	3
20511	借	73086	-1	1
20512	倠	65536	-1	3
20513	倡	70653	-1	1
20514	倢	65536	-1	3
20518	倦	66298	-1	2
20519	倧	65536	-1	3
20520	倨	65536	-1	3
20521	倩	66428	-1	1
20525	倭	67368	-1	1
20528	倰	65536	-1	3
20529	倱	65536	-1	3
20533	倵	65536	-1	3
20538	债	71404	-1	2
20540	值	71237	-1	2
20542	倾	70618	-1	1
20544	偀	65536	-1	3
20545	偁	65536	-1	3
20547	偃	65606	-1	2
20549	偅	65536	-1	3
20550	偆	65536	-1	3
20551	假	86864	-1	2
20552	偈	65536	-1	3
20554	偊	65536	-1	3
20556	偌	68135	-1	1
20557	偍	65536	-1	3
20559	偏	86726	-1	2
20561	偑	65536	-1	3
20563	偓	65536	-1	3
20567	偗	65536	-1	3
20570	做	70672	-1	1
20571	偛	65536	-1	3
20572	停	67806	-1	1
20574	偞	65536	-1	3
20578	偢	65536	-1	3
20579	偣	65536	-1	3
20580	偤	65536	-1	3
20581	健	74248	-1	2
20585	偩	65536	-1	3
20586	偪	65536	-1	3
20587	偫	65536	-1	3
20589	偭	65536	-1	3
20590	偮	65536	-1	3
20591	偯	65536	-1	3
20594	偲	65536	-1	3
20598	偶	73038	-1	2
20599	偷	70574	-1	1
20606	偾	65536	-1	3
20607	偿	70464	-1	1
20608	傀	70234	-1	2
20611	傃	65536	-1	3
20613	傅	65542	-1	1
20615	傇	65536	-1	3
20621	傍	65540	-1	1
20626	傒	65536	-1	3
20629	傕	65536	-1	3
20635	傛	65536	-1	3
20636	傜	65536	-1	3
20637	傝	65536	-1	3
20638	傞	65536	-1	3
20643	傣	70965	-1	2
20647	傧	65585	-1	2
20648	储	72191	-1	1
20649	傩	65536	-1	3
20652	催	71318	-1	1
20658	傲	67325	-1	2
20667	傻	71107	-1	2
20669	傽	65536	-1	3
20687	像	65780	-1	1
20698	僚	67430	-1	1
20699	僛	65536	-1	3
20701	僝	65536	-1	3
20710	僦	65536	-1	3
20711	僧	70834	-1	1
20717	僭	65536	-1	3
20720	僰	65536	-1	3
20725	僵	67604	-1	2
20731	僻	68392	-1	2
20733	僽	65536	-1	3
20742	儆	65536	-1	3
20743	儇	65536	-1	3
20746	儊	65536	-1	3
20747	儋	65536	-1	3
20748	儌	65536	-1	3
20754	儒	69799	-1	1
20755	儓	65536	-1	3
20759	儗	65536	-1	3
20762	儚	65536	-1	3
